################################################################################
# Collectl:   V3.6.0-1  HiRes: 1  Options: -o z -D -P -i 10 -f /mnt/vol2/msevilla/ceph-logs/client/cpu/ 
# Host:       issdm-41  DaemonOpts: -f /var/log/collectl -r00:00,7 -m -F60 -s+YZ
# Distro:       Platform: H8DMR-82
# Date:       20150604-130349  Secs: 1433448229 TZ: -0700
# SubSys:     bcdfijmnstYZ Options: z Interval: 10:60 NumCPUs: 4  NumBud: 4 Flags: i
# Filters:    NfsFilt:  EnvFilt: 
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        AuthenticAMD Speed(MHz): 2010.244 Cores: 2  Siblings: 2
# Kernel:     3.4.0-030400-generic  Memory: 8177412 kB  Swap: 8386556 kB
# NumDisks:   4 DiskNames: sda sdb sdc sdd
# NumNets:    4 NetNames: eth0:?? eth1:1000 eth2:1000 lo:
# NumSlabs:   132 Version: 2.1
# SCSI:       CD:0:00:01:00 DA:2:00:00:00 DA:3:00:00:00 DA:4:00:00:00 DA:5:00:00:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Commit [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [SOCK]Used [SOCK]Tcp [SOCK]Orph [SOCK]Tw [SOCK]Alloc [SOCK]Mem [SOCK]Udp [SOCK]Raw [SOCK]Frag [SOCK]FragMem [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot [INODE]NumDentry [INODE]openFiles [INODE]MaxFile% [INODE]used [NFS]ReadsS [NFS]WritesS [NFS]MetaS [NFS]CommitS [NFS]Udp [NFS]Tcp [NFS]TcpConn [NFS]BadAuth [NFS]BadClient [NFS]ReadsC [NFS]WritesC [NFS]MetaC [NFS]CommitC [NFS]Retrans [NFS]AuthRef [TCP]PureAcks [TCP]HPAcks [TCP]Loss [TCP]FTrans [BUD]1Page [BUD]2Pages [BUD]4Pages [BUD]8Pages [BUD]16Pages [BUD]32Pages [BUD]64Pages [BUD]128Pages [BUD]256Pages [BUD]512Pages [BUD]1024Pages
20150604 13:04:10 2 0 2 0 0 0 0 95 5 2262 4443 38 246 0 0.00 0.01 0.05 8177412 2213444 5963968 0 320768 1490148 195676 135632 525424 8386556 0 8386556 0 0 116 0 0 888724 0 24 13564 0 0 0 0 21716 281 29 0 0 42 2 0 0 0 0 192 167 78 36 0 0 0 0 0 0 2 2 0 24 24 0 4 4 163724 1152 0 113673 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 3 99 0 0 1956 1162 1349 867 91 39 17 50 31 38 1403
20150604 13:04:20 2 0 2 0 0 0 0 96 4 7815 16020 0 246 0 0.08 0.03 0.05 8177412 2216092 5961320 0 320768 1490148 195596 139648 525372 8386556 0 8386556 0 0 116 0 0 888724 0 2 134 0 0 0 0 21636 281 29 0 0 42 2 0 0 0 0 810 693 350 159 0 0 0 0 0 0 0 0 0 2 2 0 0 0 163723 1152 0 113672 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 470 0 0 1610 1186 1331 846 91 39 17 50 31 38 1403
20150604 13:04:30 2 0 2 0 0 0 0 95 5 7877 16362 0 247 1 0.07 0.03 0.05 8177412 2215660 5961752 0 320768 1490148 195548 140024 533704 8386556 0 8386556 0 0 28 0 0 888724 0 20 39 0 0 0 0 21588 281 29 0 0 42 2 0 0 0 0 837 715 364 163 0 0 0 0 0 0 3 3 0 20 20 0 2 2 163709 1184 0 113658 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 484 0 0 1613 1230 1350 842 91 39 17 50 31 38 1403
20150604 13:04:40 2 0 2 0 0 0 0 96 4 7065 15415 0 247 0 0.14 0.05 0.05 8177412 2215556 5961856 0 320768 1490148 195532 140456 533800 8386556 0 8386556 0 0 32 0 0 888724 0 0 38 0 0 0 0 21572 281 29 0 0 42 2 0 0 0 0 796 680 346 156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 163696 1184 0 113645 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 464 0 0 1606 1234 1345 844 91 39 17 50 31 38 1403
20150604 13:04:50 2 0 2 0 0 0 0 95 5 7702 16270 0 247 0 0.12 0.04 0.05 8177412 2215632 5961780 0 320768 1490148 195452 140464 533800 8386556 0 8386556 0 0 32 0 0 888724 0 0 28 0 0 0 0 21492 281 29 0 0 42 3 0 0 0 0 823 704 358 161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 163700 1184 0 113650 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 479 0 0 1547 1235 1347 846 90 40 17 50 31 38 1403
20150604 13:05:00 2 0 2 0 0 0 0 96 4 7548 15813 0 247 0 0.25 0.08 0.06 8177412 2215816 5961596 0 320768 1490156 195608 140584 533800 8386556 0 8386556 0 0 40 0 0 888724 0 2 29 0 0 0 0 21648 281 29 0 0 42 2 0 0 0 0 805 688 348 158 0 0 0 0 0 0 0 0 0 2 2 0 0 0 163704 1184 0 113654 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 469 0 0 1545 1240 1336 845 90 40 17 50 31 38 1403
20150604 13:05:10 13 0 7 0 0 0 0 80 20 7868 17359 30 249 1 0.37 0.11 0.07 8177412 2221472 5955940 0 320772 1490184 195448 143044 614656 8386556 0 8386556 0 0 124 0 0 888736 0 29 22606 0 0 0 0 21456 282 30 0 0 43 2 0 0 0 0 834 710 359 162 0 0 0 0 0 0 2 2 0 29 29 0 2 2 163710 1216 0 113651 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 469 0 0 1503 1174 1389 738 84 40 19 48 31 38 1403
20150604 13:05:20 3 0 2 0 0 0 0 94 6 8033 16342 0 248 0 0.39 0.12 0.08 8177412 2218584 5958828 0 320772 1490180 195500 141068 542268 8386556 0 8386556 0 0 148 0 0 888752 0 18 1243 0 0 0 0 21540 282 30 0 0 43 2 0 0 0 0 812 694 352 164 0 0 0 0 0 0 1 1 0 18 18 0 2 2 163742 1216 0 113680 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 469 0 0 1645 1187 1380 771 85 40 19 48 31 38 1403
20150604 13:05:30 2 0 2 0 0 0 0 96 4 7414 15182 0 248 0 0.33 0.11 0.08 8177412 2216860 5960552 0 320772 1490180 195352 140872 542268 8386556 0 8386556 0 0 144 0 0 888752 0 5 29 0 0 0 0 21392 282 30 0 0 43 2 0 0 0 0 774 663 334 152 0 0 0 0 0 0 1 1 0 5 5 0 0 0 163736 1216 0 113675 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 449 0 0 1776 1227 1376 790 86 40 19 48 31 38 1403
20150604 13:05:40 2 0 2 0 0 0 0 96 4 8120 16503 0 248 0 0.50 0.16 0.09 8177412 2216664 5960748 0 320772 1490180 195348 140884 542268 8386556 0 8386556 0 0 120 0 0 888752 0 2 29 0 0 0 0 21388 282 30 0 0 43 2 0 0 0 0 826 705 359 161 0 0 0 0 0 0 0 0 0 2 2 0 0 0 163754 1216 0 113692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 481 0 0 1805 1227 1380 789 85 39 18 49 31 38 1403
